sessionID,conn_dt,disc_dt,hour,dow,is_weekend,kWh,session_h,charging_h,idle_h,est_util,dyn_tariff,tariff_regime,rev_fixed,rev_dynamic,tariff_chg_pct,demand_resp_pct,adj_kWh
2_39_138_29_2018-07-09 15:35:29.886137,2018-07-09 15:35:30+00:00,2018-07-09 20:09:27+00:00,15,0,0,5.124,4.565833333333333,2.1519444444444447,2.4138888888888883,0.36220966729441306,15.0,Base,76.86,76.86,0.0,-0.0,5.124
2_39_91_437_2018-07-09 15:38:45.249579,2018-07-09 15:38:45+00:00,2018-07-10 02:50:47+00:00,15,0,0,5.066,11.200555555555555,2.2044444444444444,8.99611111111111,0.36220966729441306,15.0,Base,75.99,75.99,0.0,-0.0,5.066
2_39_78_367_2018-07-09 15:39:49.226888,2018-07-09 15:39:49+00:00,2018-07-10 00:13:27+00:00,15,0,0,7.072,8.560555555555556,4.166944444444445,4.393611111111111,0.36220966729441306,15.0,Base,106.08,106.08,0.0,-0.0,7.072
2_39_90_26_2018-07-09 15:45:45.574767,2018-07-09 15:45:46+00:00,2018-07-10 00:04:24+00:00,15,0,0,8.201,8.310555555555556,3.2694444444444444,5.041111111111112,0.36220966729441306,15.0,Base,123.01500000000001,123.01500000000001,0.0,-0.0,8.201
2_39_89_25_2018-07-09 15:46:27.838631,2018-07-09 15:46:28+00:00,2018-07-10 01:50:35+00:00,15,0,0,23.838,10.06861111111111,5.787222222222222,4.2813888888888885,0.36220966729441306,15.0,Base,357.57,357.57,0.0,-0.0,23.838
2_39_78_363_2018-07-09 15:46:58.122566,2018-07-09 15:46:58+00:00,2018-07-10 01:49:54+00:00,15,0,0,5.338,10.04888888888889,2.781111111111111,7.267777777777779,0.36220966729441306,15.0,Base,80.07000000000001,80.07000000000001,0.0,-0.0,5.338
2_39_78_360_2018-07-09 15:47:31.567284,2018-07-09 15:47:32+00:00,2018-07-09 23:44:23+00:00,15,0,0,7.71,7.9475,4.820277777777778,3.1272222222222217,0.36220966729441306,15.0,Base,115.65,115.65,0.0,-0.0,7.71
2_39_92_436_2018-07-09 15:51:59.393557,2018-07-09 15:51:59+00:00,2018-07-10 00:50:14+00:00,15,0,0,17.896,8.970833333333333,5.039722222222222,3.931111111111111,0.36220966729441306,15.0,Base,268.44,268.44,0.0,-0.0,17.896
2_39_95_444_2018-07-09 15:54:16.267330,2018-07-09 15:54:16+00:00,2018-07-10 00:49:34+00:00,15,0,0,15.3,8.921666666666667,5.062777777777778,3.858888888888889,0.36220966729441306,15.0,Base,229.5,229.5,0.0,-0.0,15.3
2_39_89_439_2018-07-09 16:24:19.367137,2018-07-09 16:24:19+00:00,2018-07-09 21:51:19+00:00,16,0,0,4.676,5.45,2.7580555555555555,2.6919444444444447,0.5010200878844947,17.551004394224737,Surge,70.14,82.06849654739487,17.00669596149825,-5.102008788449474,4.437430069052103
2_39_126_20_2018-07-09 16:44:46.989580,2018-07-09 16:44:47+00:00,2018-07-10 00:34:36+00:00,16,0,0,4.019,7.830277777777778,2.088611111111111,5.741666666666667,0.5010200878844947,17.551004394224737,Surge,60.285000000000004,70.53748666038922,17.00669596149825,-5.102008788449474,3.8139502667922156
2_39_127_561_2018-07-09 16:46:28.810712,2018-07-09 16:46:29+00:00,2018-07-10 01:10:14+00:00,16,0,0,6.625,8.395833333333334,3.741388888888889,4.6544444444444455,0.5010200878844947,17.551004394224737,Surge,99.375,116.27540411173888,17.00669596149825,-5.102008788449474,6.2869919177652225
2_39_124_22_2018-07-09 16:57:39.998118,2018-07-09 16:57:40+00:00,2018-07-10 02:13:03+00:00,16,0,0,4.86,9.256388888888889,3.2169444444444446,6.039444444444444,0.5010200878844947,17.551004394224737,Surge,72.9,85.29788135593223,17.00669596149825,-5.102008788449474,4.612042372881356
2_39_79_381_2018-07-09 16:58:50.763116,2018-07-09 16:58:51+00:00,2018-07-09 22:13:19+00:00,16,0,0,10.124,5.2411111111111115,4.967222222222222,0.27388888888888907,0.5010200878844947,17.551004394224737,Surge,151.86,177.68636848713126,17.00669596149825,-5.102008788449474,9.607472630257377
2_39_79_376_2018-07-09 17:02:02.511215,2018-07-09 17:02:03+00:00,2018-07-10 02:14:29+00:00,17,0,0,14.97,9.207222222222223,6.658888888888889,2.548333333333334,0.5519460138104206,20.097300690521035,Surge,224.55,300.8565913370999,33.98200460347356,-10.194601381042068,13.443868173258004
2_39_79_383_2018-07-09 17:02:15.172978,2018-07-09 17:02:15+00:00,2018-07-09 19:35:47+00:00,17,0,0,4.292,2.5588888888888888,2.5575,0.001388888888888662,0.5519460138104206,20.097300690521035,Surge,64.38,86.25761456371627,33.98200460347356,-10.194601381042068,3.854447708725674
2_39_88_438_2018-07-09 17:05:58.771763,2018-07-09 17:05:59+00:00,2018-07-10 00:59:35+00:00,17,0,0,7.526,7.8933333333333335,3.0325,4.860833333333334,0.5519460138104206,20.097300690521035,Surge,112.89,151.2522849968613,33.98200460347356,-10.194601381042068,6.7587543000627734
2_39_125_559_2018-07-09 17:11:05.407390,2018-07-09 17:11:05+00:00,2018-07-09 21:35:37+00:00,17,0,0,13.938,4.408888888888889,4.408888888888889,0.0,0.5519460138104206,20.097300690521035,Surge,209.07000000000002,280.11617702448217,33.98200460347356,-10.194601381042068,12.517076459510356
2_39_78_362_2018-07-09 17:24:40.717313,2018-07-09 17:24:41+00:00,2018-07-09 19:42:15+00:00,17,0,0,4.263,2.292777777777778,2.292777777777778,0.0,0.5519460138104206,20.097300690521035,Surge,63.945,85.67479284369116,33.98200460347356,-10.194601381042068,3.8284041431261766
2_39_128_18_2018-07-09 17:26:49.138023,2018-07-09 17:26:49+00:00,2018-07-10 00:39:51+00:00,17,0,0,13.895,7.217222222222222,6.182777777777778,1.0344444444444445,0.5519460138104206,20.097300690521035,Surge,208.42499999999998,279.2519930947898,33.98200460347356,-10.194601381042068,12.478460138104204
2_39_92_442_2018-07-09 17:27:15.418997,2018-07-09 17:27:15+00:00,2018-07-10 04:04:57+00:00,17,0,0,10.743,10.628333333333334,4.915,5.713333333333334,0.5519460138104206,20.097300690521035,Surge,161.145,215.90530131826748,33.98200460347356,-10.194601381042068,9.64779397363465
2_39_90_440_2018-07-09 17:34:16.602439,2018-07-09 17:34:17+00:00,2018-07-09 19:20:45+00:00,17,0,0,4.119,1.7744444444444445,1.773611111111111,0.0008333333333334636,0.5519460138104206,20.097300690521035,Surge,61.785,82.78078154425614,33.98200460347356,-10.194601381042068,3.699084369114877
2_39_79_378_2018-07-09 18:44:45.078732,2018-07-09 18:44:45+00:00,2018-07-09 22:10:08+00:00,18,0,0,5.581,3.4230555555555555,3.321111111111111,0.1019444444444444,0.5732893910860013,21.164469554300066,Surge,83.715,118.11890458254868,41.096463695333775,-12.328939108600132,4.8929219083490265
2_39_130_31_2018-07-09 18:50:48.873157,2018-07-09 18:50:49+00:00,2018-07-09 23:05:31+00:00,18,0,0,9.757,4.245,4.243611111111111,0.001388888888889106,0.5732893910860013,21.164469554300066,Surge,146.355,206.50172944130574,41.096463695333775,-12.328939108600132,8.554065411173884
2_39_88_24_2018-07-09 18:58:09.587933,2018-07-09 18:58:10+00:00,2018-07-10 00:01:12+00:00,18,0,0,26.201,5.0505555555555555,5.049444444444444,0.0011111111111112848,0.5732893910860013,21.164469554300066,Surge,393.015,554.530266792216,41.096463695333775,-12.328939108600132,22.97069466415568
2_39_78_361_2018-07-09 19:37:06.669413,2018-07-09 19:37:07+00:00,2018-07-10 04:11:05+00:00,19,0,0,9.16,8.56611111111111,4.032222222222222,4.533888888888889,0.5842749529190207,21.71374764595103,Surge,137.4,198.89792843691146,44.75831763967354,-13.427495291902062,7.930041431261771
2_39_79_383_2018-07-09 19:39:47.300529,2018-07-09 19:39:47+00:00,2018-07-10 00:12:33+00:00,19,0,0,6.04,4.546111111111111,3.241111111111111,1.3050000000000002,0.5842749529190207,21.71374764595103,Surge,90.6,131.15103578154424,44.75831763967354,-13.427495291902062,5.228979284369116
2_39_90_440_2018-07-09 19:43:28.071904,2018-07-09 19:43:28+00:00,2018-07-09 22:11:11+00:00,19,0,0,10.369,2.4619444444444443,2.2,0.2619444444444441,0.5842749529190207,21.71374764595103,Surge,155.535,225.14984934086624,44.75831763967354,-13.427495291902062,8.976703013182675
2_39_78_362_2018-07-09 19:54:26.279540,2018-07-09 19:54:26+00:00,2018-07-10 02:31:57+00:00,19,0,0,7.613,6.625277777777778,6.625277777777778,0.0,0.5842749529190207,21.71374764595103,Surge,114.19500000000001,165.30676082862522,44.75831763967354,-13.427495291902062,6.590764783427496
2_39_123_557_2018-07-09 20:07:36.746469,2018-07-09 20:07:37+00:00,2018-07-10 02:08:23+00:00,20,0,0,17.077,6.012777777777778,2.652222222222222,3.360555555555556,0.5909447583176397,22.047237915881986,Surge,256.15500000000003,376.5006818895167,46.981586105879906,-14.09447583176397,14.670086362209668
2_39_138_29_2018-07-09 20:15:29.366712,2018-07-09 20:15:29+00:00,2018-07-09 21:27:13+00:00,20,0,0,3.832,1.1955555555555555,1.1941666666666666,0.001388888888888884,0.5909447583176397,22.047237915881986,Surge,57.48,84.48501569365976,46.981586105879906,-14.09447583176397,3.291899686126804
